TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.8775510204081632,49,43
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.9701492537313433,134,130
org.apache.commons.compress.archivers.ArchiveStreamFactory,BRANCH,0.6741573033707865,89,61
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9435483870967742,124,117
org.apache.commons.compress.archivers.zip.X7875_NewUnix,BRANCH,1.0,30,30
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.3870967741935484,124,48
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.9090909090909091,99,90
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,BRANCH,0.3389830508474576,118,40
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,BRANCH,0.043010752688172046,279,12
org.apache.commons.compress.archivers.sevenz.Coders,BRANCH,0.4444444444444444,54,24
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9523809523809523,126,120
org.apache.commons.compress.compressors.CompressorStreamFactory,BRANCH,0.8253968253968254,63,52
org.apache.commons.compress.archivers.zip.UnixStat,BRANCH,0.0,0,0
org.apache.commons.compress.archivers.sevenz.SevenZOutputFile,BRANCH,0.7870967741935484,155,122
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.1532567049808429,261,40
org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream,BRANCH,0.8083333333333333,120,97
org.apache.commons.compress.utils.ChecksumCalculatingInputStream,BRANCH,1.0,9,9
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.3732394366197183,142,53
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9274193548387096,124,115
org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream,BRANCH,0.375,120,45
org.apache.commons.compress.archivers.dump.DumpArchiveInputStream,BRANCH,0.0390625,128,5
org.apache.commons.compress.compressors.bzip2.BZip2CompressorInputStream,BRANCH,0.05734767025089606,279,16
org.apache.commons.csv.CSVRecord,BRANCH,1.0,25,25
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.9354838709677419,124,112
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.4217687074829932,147,62
org.apache.commons.compress.archivers.sevenz.SevenZFile,BRANCH,0.024096385542168676,332,8
org.apache.commons.compress.compressors.deflate.DeflateCompressorInputStream,BRANCH,0.8888888888888888,9,8
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.975,120,117
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.4147727272727273,176,73
org.apache.commons.compress.archivers.tar.TarArchiveInputStream,BRANCH,0.30612244897959184,147,45
org.apache.commons.compress.utils.ArchiveUtils,BRANCH,0.9777777777777777,45,44
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,BRANCH,0.975609756097561,164,160
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.14869888475836432,269,40
org.apache.commons.compress.archivers.tar.TarArchiveEntry,BRANCH,0.6598984771573604,197,130
org.apache.commons.compress.archivers.tar.TarArchiveOutputStream,BRANCH,0.734375,128,93
org.apache.commons.compress.archivers.tar.TarUtils,BRANCH,0.8706896551724138,116,101
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,BRANCH,0.991304347826087,115,114
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.13026819923371646,261,34
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,BRANCH,0.14285714285714285,287,41
org.apache.commons.csv.ExtendedBufferedReader,BRANCH,0.6538461538461539,26,17
org.apache.commons.csv.Lexer,BRANCH,0.9516129032258065,62,58
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,BRANCH,0.796875,320,257
org.apache.commons.csv.CSVParser,BRANCH,0.8260869565217391,69,57
org.apache.commons.csv.CSVFormat,BRANCH,0.9849246231155779,199,196
org.apache.commons.csv.CSVRecord,BRANCH,0.9666666666666667,30,27
org.apache.commons.csv.CSVParser,BRANCH,0.8428571428571429,70,59
org.apache.commons.csv.CSVPrinter,BRANCH,0.8661417322834646,127,109
org.apache.commons.csv.CSVRecord,BRANCH,0.9705882352941176,34,33
org.apache.commons.csv.CSVFormat,BRANCH,0.9634146341463414,164,158
org.apache.commons.csv.CSVParser,BRANCH,0.7375,80,59
org.apache.commons.csv.CSVFormat,BRANCH,0.9880239520958084,167,165
org.apache.commons.csv.CSVPrinter,BRANCH,0.9375,128,120
com.google.gson.internal.bind.JsonTreeWriter,BRANCH,0.9027777777777778,72,65
org.apache.commons.csv.CSVFormat,BRANCH,0.918429003021148,331,302
org.apache.commons.csv.CSVFormat,BRANCH,0.9497041420118343,338,320
org.apache.commons.csv.CSVPrinter,BRANCH,0.7226277372262774,137,99
org.apache.commons.compress.utils.BitInputStream,BRANCH,0.8,15,12
org.apache.commons.csv.CSVParser,BRANCH,0.851063829787234,94,80
com.google.gson.TypeInfoFactory,BRANCH,0.08333333333333333,24,2
com.google.gson.internal.ConstructorConstructor,BRANCH,0.0,58,0
com.google.gson.stream.JsonReader,BRANCH,0.6963746223564955,662,444
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.44274809160305345,262,116
com.google.gson.internal.bind.util.ISO8601Utils,BRANCH,0.8105263157894737,95,77
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.36971830985915494,284,105
com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory,BRANCH,0.8571428571428571,7,6
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,BRANCH,0.578125,64,37
com.fasterxml.jackson.core.json.JsonWriteContext,BRANCH,1.0,42,42
com.google.gson.internal.bind.JsonTreeReader,BRANCH,0.9191919191919192,99,91
com.fasterxml.jackson.core.io.NumberInput,BRANCH,0.9421487603305785,121,114
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.4275618374558304,283,118
com.google.gson.stream.JsonReader,BRANCH,0.7340425531914894,658,466
com.google.gson.internal.$Gson$Types,BRANCH,0.7205882352941176,204,147
com.google.gson.stream.JsonWriter,BRANCH,0.9043478260869565,115,103
com.google.gson.stream.JsonWriter,BRANCH,0.8956521739130435,115,102
com.google.gson.stream.JsonWriter,BRANCH,0.9009009009009009,111,103
com.fasterxml.jackson.core.io.IOContext,BRANCH,1.0,39,39
com.fasterxml.jackson.core.base.ParserMinimalBase,BRANCH,0.1457286432160804,199,29
com.google.gson.DefaultDateTypeAdapter,BRANCH,0.9565217391304348,23,22
com.google.gson.internal.$Gson$Types,BRANCH,0.714975845410628,207,148
com.google.gson.internal.$Gson$Types,BRANCH,0.7109004739336493,211,150
com.google.gson.stream.JsonReader,BRANCH,0.7786032689450223,673,502
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.633248730964467,788,497
com.fasterxml.jackson.core.JsonPointer,BRANCH,0.9571428571428572,70,67
com.fasterxml.jackson.core.JsonPointer,BRANCH,0.9428571428571428,70,66
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9689922480620154,129,125
com.fasterxml.jackson.core.base.GeneratorBase,BRANCH,0.7605633802816901,71,54
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.9929078014184397,141,140
com.fasterxml.jackson.core.util.DefaultPrettyPrinter,BRANCH,1.0,58,58
com.fasterxml.jackson.core.json.JsonGeneratorImpl,BRANCH,0.9411764705882353,17,16
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.4219712525667351,974,410
com.fasterxml.jackson.core.json.ReaderBasedJsonParser,BRANCH,0.41707717569786534,1218,509
com.fasterxml.jackson.core.util.JsonParserSequence,BRANCH,0.9583333333333334,24,23
com.fasterxml.jackson.core.util.TextBuffer,BRANCH,0.993103448275862,145,144
com.fasterxml.jackson.core.filter.FilteringParserDelegate,BRANCH,0.5838709677419355,310,181
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,BRANCH,0.8542372881355932,295,253
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer,BRANCH,0.8080808080808081,297,235
com.fasterxml.jackson.core.base.ParserBase,BRANCH,0.18181818181818182,286,52
